date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:43%20GMT	http://oklumi.com/cdn/shop/t/1/assets/media-gallery.js?v=96661908581229995091690949775	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/media-gallery109f.js	(from https://oklumi.com/products/oklumi-projector)
11:02:43	3498/3498	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Mar%202024%2020:36:57%20GMT	https://oklumi.com/cdn/shop/t/1/assets/media-gallery.js?v=96661908581229995091690949775	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/media-gallery109f.js	(from https://oklumi.com/products/oklumi-projector)
11:02:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:45%20GMT	http://oklumi.com/cdn/shop/t/1/assets/component-image-with-text.css?v=137489125164627035761690949762	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/component-image-with-text99d7.css	(from https://oklumi.com/products/oklumi-projector)
11:02:44	9840/9840	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Mar%202024%2023:58:13%20GMT	https://oklumi.com/cdn/shop/t/1/assets/component-image-with-text.css?v=137489125164627035761690949762	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/component-image-with-text99d7.css	(from https://oklumi.com/products/oklumi-projector)
11:02:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:45%20GMT	http://oklumi.com/cdn/shop/files/S317934b760b0424f972e4f4a3dad077e6.png?v=1691111536&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/S317934b760b0424f972e4f4a3dad077e6cced.png	(from https://oklumi.com/products/oklumi-projector)
11:02:44	141357/141357	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:abac50787cc2776b731e61d13994fb41%22	https://oklumi.com/products/Trident/	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/products/Trident/index.html	(from https://oklumi.com/products/oklumi-projector)
11:02:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:46%20GMT	http://oklumi.com/cdn/shop/files/Salange-HY300-Smart-Projector-Android-11-0-MINI-Portable-5G-WIFI-Home-Cinema-720P-for-SAMSUNG_jpg_e9ff0f05-a933-4784-bb28-32ca0a14070a.png?v=1691549690&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Smart-Projector-Android-11-0-MINI-Portable-5G-WIFI-Home-Cinema-720P-for-SAMSUNG_jpg_e9ff0f05-a933-4784-bb28-32ca0a14070ac3ef.png	(from https://oklumi.com/products/oklumi-projector)
11:02:45	1841365/1841365	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Mar%202024%2013:57:07%20GMT	https://oklumi.com/cdn/shop/files/S317934b760b0424f972e4f4a3dad077e6.png?v=1691111536&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/S317934b760b0424f972e4f4a3dad077e6cced.png	(from https://oklumi.com/products/oklumi-projector)
11:02:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:47%20GMT	http://oklumi.com/cdn/shop/files/Sf1f89bd43422444987a6aede3f203ea3a_f214e8cf-a132-4b5d-a847-221596fad6b4.jpg?v=1691112390&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Sf1f89bd43422444987a6aede3f203ea3a_f214e8cf-a132-4b5d-a847-221596fad6b478d1.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:47	724279/724279	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Mar%202024%2018:38:36%20GMT	https://oklumi.com/cdn/shop/files/Salange-HY300-Smart-Projector-Android-11-0-MINI-Portable-5G-WIFI-Home-Cinema-720P-for-SAMSUNG_jpg_e9ff0f05-a933-4784-bb28-32ca0a14070a.png?v=1691549690&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Smart-Projector-Android-11-0-MINI-Portable-5G-WIFI-Home-Cinema-720P-for-SAMSUNG_jpg_e9ff0f05-a933-4784-bb28-32ca0a14070ac3ef.png	(from https://oklumi.com/products/oklumi-projector)
11:02:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:48%20GMT	http://oklumi.com/cdn/shop/files/S9d0fe35981c94480a3bfde82757c9137f_9242c663-cda5-41e2-9b90-e25333fb5f46.png?v=1691262855&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/S9d0fe35981c94480a3bfde82757c9137f_9242c663-cda5-41e2-9b90-e25333fb5f46aedb.png	(from https://oklumi.com/products/oklumi-projector)
11:02:49	169658/169658	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2018:38:36%20GMT	https://oklumi.com/cdn/shop/files/Sf1f89bd43422444987a6aede3f203ea3a_f214e8cf-a132-4b5d-a847-221596fad6b4.jpg?v=1691112390&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Sf1f89bd43422444987a6aede3f203ea3a_f214e8cf-a132-4b5d-a847-221596fad6b478d1.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:51%20GMT	http://oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV_jpg.png?v=1691261078&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV_jpg35d2.png	(from https://oklumi.com/products/oklumi-projector)
11:02:51	643760/643760	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Mar%202024%2006:27:33%20GMT	https://oklumi.com/cdn/shop/files/S9d0fe35981c94480a3bfde82757c9137f_9242c663-cda5-41e2-9b90-e25333fb5f46.png?v=1691262855&width=1500	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/S9d0fe35981c94480a3bfde82757c9137f_9242c663-cda5-41e2-9b90-e25333fb5f46aedb.png	(from https://oklumi.com/products/oklumi-projector)
